Agent_name,word,frequency
Michael Scott,policy,2
Keith Hall,time,2
Renee Lucas,knowledge,2
Kenneth Ramos,time,2
Kathryn Vasquez,simply,2
Adam Hernandez,guy,2
Natalie Gonzales,time,2
Timothy Butler,kindly,2
Laura Smith,guy,2
Peter Lawrence,know,2
Blake Davis,cancel,2
Theresa Moore,time,2
Erik Williams,polite,2
Margaret Prince,times,2
Daniel Murphy,know,2
Edward Perez,polite,2
Brian Barrera,cancel,2
Michele Roberts,cancellation,2
Lisa May,guys,2
Virginia Mccormick,time,2
Wendy Taylor,time,2
Rhonda Martin DVM,know,2
James Ford,know,2
Linda Foster,sister,2
Michele Roberts,canceled,2
Garrett Kim,polite,2
Nathan Young,know,2
Angela Carlson,sirf,2
Sarah Thomas,effort,2
Tony Jones,timeline,2
Joe Chapman,know,2
Tracey Malone,guys,2
Darren Watson,polite,2
Daniel Woods,polite,2
David Steele,related,2
Rebecca Walker,guys,2
Laura Allen,know,2
Laura Farmer,know,2
Patrick Shelton,sir,2
Linda Butler,know,2
Angela Carlson,hai,2
Alexis Campbell,cancel,2
Nicholas Wright,time,2
Allen Bowers,polite,2
Pamela Perez,time,2
Adam Hammond,polite,2
Paul Preston,time,2
Peter Lawrence,time,2
Michael Morton,email,2
Rebecca Walker,time,2
Brandon Martin,kiya,2
Christopher Murphy,efficient,2
Robert Cook,time,2
Mary Powell,email,2
Tyler Miller,cancelled,2
Elizabeth Garcia,kiye,2
Samantha Warner,time,2
Savannah Keller,time,2
Amanda Martinez,polite,2
Stephanie Lewis,time,2
Patrick Shelton,hai,2
Olivia Villa,sites,2
Teresa Gilbert,times,2
James Chung,polite,2
Lynn Gross,cancelled,2
Lawrence Phillips,sites,2
Anthony Kerr,guys,2
Shelley Watson,time,2
Brandon Martin,hai,2
Joseph Smith,cancelled,2
Ricky Berger,times,2
Stephanie Holmes,time,2
Richard Smith,times,2
Rhonda Sullivan,times,2
Matthew Ross,skills,2
Holly King,time,2
Joel Marsh,happy,2
Jeffrey Miller,earlier,2
Melissa Grant,just,2
Madison Flores,showing,2
James Lopez,english,2
John Bailey,showing,2
James Ford,grievance,2
Craig Gonzales,happy,2
Kristen Olson,just,2
Rebecca James,enabled,2
Kathryn Vasquez,just,2
Eric Smith,poor,2
Joshua Christensen,poor,2
Joshua Webb,just,2
Ricky Berger,refund,2
Joseph Harris,just,2
Marie Acosta,lady,2
Tammy Mcneil,refund,2
