Topic,Words,Frequency,Class
5,"care, executive, good, customer, helpful",1,Thomas Hayes
0,"shivparasant, mr, sir, thank, team",1,Joseph Padilla
4,"boor, care, customer, good, experience",1,Joseph Padilla
27,"talking, thanks, nice, costomer, easily",1,William Brown
1,"talk, nice, executive, helpful, polite",1,Samantha Miller
5,"guy, nice, care, executive, customer",1,Samantha Miller
30,"best, resolve, problem, person, mr",1,Samantha Miller
0,"soon, possible, happy, hope, resolve",2,Chad Burns
3,"reasons, unethical, providing, instead, address",1,Chad Burns
0,"date, flexible, allow, ai, drawback3",1,Lori Daugherty
10,"poor, service, customer, bad, provided",1,Lori Daugherty
-1,"started, likeone, sentence, start, sense",1,Veronica Choi
5,"talked, best, executive, customer, care",1,Veronica Choi
0,"bad, shopzilla, service, customer, product",1,Gilbert Johns
10,"satisfied, service, customer, bad, poor",1,Curtis Hill
0,"experienceand, extreme, aged, parentsthere, harrasment",2,Chad Nielsen
1,"sharp, executive, good, helpful, polite",1,Jessica Daugherty
2,"gravity, callback, considering, bother, disconnected",1,Jessica Daugherty
14,"talked, samethank, sonia, soniya, gem",2,Jessica Daugherty
26,"grow, self, doing, talk, nice",1,Jessica Daugherty
-1,"ji, nice, talk, person, talking",1,Brandy Foley
0,"seller, poorif, owful, separate, platformthis",4,Brandy Foley
1,"morning, explained, isuue, muje, naam",2,Brandy Foley
3,"asap, knowledgeable, hope, agent, resolved",1,Brandy Foley
8,"easy, contact, make, care, customer",1,Brandy Foley
11,"happy, care, customer, satisfied, service",1,Brandy Foley
32,"nice, person, helpful, thank, ",1,Brandy Foley
-1,"slackerevevn, common, havent, sense, senior",1,Tina Ramirez
0,"respect, impressive, maam, dealing, appreciated",1,Tina Ramirez
-1,"happy, talk, talking, customer, support",1,Lindsay Campbell
0,"backbut, bed, urgent, delayed, place",1,Lindsay Campbell
5,"experienced, professional, executive, care, customer",1,Lindsay Campbell
11,"helpfulthanks, happy, satisfied, customer, executive",1,Lindsay Campbell
15,"love, supportive, executive, support, customer",1,Lindsay Campbell
-1,"behaviour, solved, happy, talk, problem",2,Kevin Walsh
0,"serviceshopzilla, productsbecause, producet, restrictions, believe",3,Kevin Walsh
1,"good, executive, helpful, polite, nice",1,Kevin Walsh
3,"assurance, despite, agent, provided, best",2,Kevin Walsh
12,"thanks, service, good, customer, nice",1,Kevin Walsh
0,"languagethanks, nature, available, app, communication",3,Fred Newman
30,"mybtime, mee, requesting, job, doing",1,Fred Newman
-1,"aforementioned, supervisors, treated, point, authority",2,Robert Lara
0,"buy, afte, types, sales, staff",4,Robert Lara
1,"amazing, executive, helpful, polite, good",1,Robert Lara
4,"parsal, services, care, good, customer",1,Robert Lara
33,"worst, service, customer, seen, script",1,Robert Lara
